Q1,Qa,Qb,Qc,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6_1,Q6_2,Q6_3,Q6_4,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q8_1,Q8_2,Q8_3,Q8_4
T01,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,,,,
T01,1,1,2,,,,,,,3,1,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T01,2,2,3,,,,,,,,,,,,2,1,4,4,1,,,,,,,,,,,,,,,,,,,,,,,
T01,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,2,,,,,,,,,
T01,1,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,3,3
T01,1,2,1,1,2,3,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T01,2,1,4,,,,,,,,,,,,,,,,,2,1,3,2,1,,,,,,,,,,,,,,,,,,
T01,2,1,5,,,,,,,,,,,,,,,,,,,,,,3,2,2,2,1,,,,,,,,,,,,,
T02,1,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4
T02,1,2,2,,,,,,,3,3,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T02,2,1,4,,,,,,,,,,,,,,,,,2,2,3,2,1,,,,,,,,,,,,,,,,,,
T02,2,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,1,,,,
T02,1,1,1,2,2,3,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T02,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,2,,,,,,,,,
T02,2,2,3,,,,,,,,,,,,2,3,3,4,1,,,,,,,,,,,,,,,,,,,,,,,
T02,2,2,5,,,,,,,,,,,,,,,,,,,,,,3,2,2,3,3,,,,,,,,,,,,,
T03,2,2,3,,,,,,,,,,,,2,3,3,2,3,,,,,,,,,,,,,,,,,,,,,,,
T03,2,2,2,,,,,,,2,1,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T03,1,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,,,,,,,,,
T02,1,2,4,,,,,,,,,,,,,,,,,2,2,3,2,1,,,,,,,,,,,,,,,,,,
T03,2,1,5,,,,,,,,,,,,,,,,,,,,,,3,2,1,2,1,,,,,,,,,,,,,
T03,2,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,3
T03,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,,,,
T03,1,1,1,1,2,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T04,2,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,,,,,,,,,
T04,2,1,5,,,,,,,,,,,,,,,,,,,,,,3,2,2,1,1,,,,,,,,,,,,,
T04,1,1,3,,,,,,,,,,,,2,1,3,4,3,,,,,,,,,,,,,,,,,,,,,,,
T04,1,1,2,,,,,,,3,3,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T04,2,2,1,1,2,2,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T04,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,2
T04,1,2,4,,,,,,,,,,,,,,,,,1,1,3,2,1,,,,,,,,,,,,,,,,,,
T04,1,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,,,,
T05,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,1,2,,,,,,,,,
T05,1,1,3,,,,,,,,,,,,2,1,3,4,3,,,,,,,,,,,,,,,,,,,,,,,
T05,2,2,4,,,,,,,,,,,,,,,,,4,3,3,2,1,,,,,,,,,,,,,,,,,,
T05,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,,,,
T05,1,2,5,,,,,,,,,,,,,,,,,,,,,,3,2,3,2,1,,,,,,,,,,,,,
T05,1,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,4,3
T05,2,1,1,1,2,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T05,2,1,2,,,,,,,4,2,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
