Q1,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6
P01,HUD,STP,8,3,15,10,8,2
P01,HUD,RSVP,15,3,5,10,12,3
P01,HUDAA,STP,12,2,14,10,12,1
P01,HUDAA,RSVP,12,2,11,10,12,3
P02,HUD,RSVP,13,1,18,16,13,1
P02,HUD,STP,6,1,9,19,16,2
P02,HUDAA,RSVP,1,1,14,21,8,1
P02,HUDAA,STP,5,1,4,21,15,1
P03,HUD,RSVP,15,3,13,17,8,5
P03,HUD,STP,19,5,18,5,16,15
P03,HUDAA,RSVP,12,13,15,12,11,11
P03,HUDAA,STP,7,7,4,15,4,1
T01,HUD,STP,15,4,13,14,13,8
T01,HUD,RSVP,6,1,12,16,5,3
T01,HUDAA,STP,14,1,8,10,8,2
T01,HUDAA,RSVP,8,3,11,11,7,3
T02,HUD,RSVP,17,8,14,13,17,13
T02,HUD,STP,14,4,18,8,18,14
T02,HUDAA,STP,8,5,17,12,7,11
T02,HUDAA,RSVP,7,6,16,13,8,11
