Participant_ID,STP_RSVP,TTS,Trial_No,RT
P01,0,0,1,0.843529
P01,0,0,2,0.953102
P01,1,0,1,0.919411
P01,1,0,2,0
P01,0,1,1,0.956703
P01,0,1,2,1.199394
P01,1,1,1,0.836792
P01,1,1,2,0.849396
P02,1,0,1,0.995537
P02,1,0,2,1.075592
P02,0,0,1,1.194489
P02,0,0,2,0.989067
P02,1,1,1,0.855713
P02,1,1,2,0.859978
P02,0,1,1,0.951271
P02,0,1,2,0.991646
P03,1,0,1,1.709282
P03,1,0,2,0
P03,0,0,1,1.624054
P03,0,0,2,1.23983
P03,1,1,1,1.796032
P03,1,1,2,1.5429
P03,0,1,1,0.881973
P03,0,1,2,1.144012
T01,0,0,1,0.649902
T01,0,0,2,1.128029
T01,1,0,1,1.491348
T01,1,0,2,1.256592
T01,0,1,1,0
T01,0,1,2,0.714279
T01,1,1,1,0
T01,1,1,2,1.22068
T02,1,0,1,1.379181
T02,1,0,2,0.727318
T02,0,0,1,0.808289
T02,0,0,2,0.977196
T02,0,1,1,0.892311
T02,0,1,2,0.909126
T02,1,1,1,0.973312
T02,1,1,2,0.925617
