Participant_ID,STP_RSVP,TTS,Trial_No,Scenario
P01, 0, 0, 1, CSA
P01, 0, 0, 2, EW
P01, 0, 1, 1, ACR
P01, 0, 1, 2, EW
P01, 1, 0, 1, CSA
P01, 1, 0, 2, LVAD
P01, 1, 1, 1, ACR
P01, 1, 1, 2, LVAD
P02, 0, 1, 1, EW
P02, 0, 1, 2, ACR
P02, 1, 0, 1, EW
P02, 1, 0, 2, CSA
P02, 1, 1, 1, LVAD
P02, 1, 1, 2, ACR
P02, 0, 0, 1, LVAD
P02, 0, 0, 2, CSA
P03, 1, 1, 1, LVAD
P03, 1, 1, 2, CSA
P03, 0, 0, 1, EW
P03, 0, 0, 2, ACR
P03, 0, 1, 1, EW
P03, 0, 1, 2, CSA
P03, 1, 0, 1, LVAD
P03, 1, 0, 2, ACR
P04, 1, 0, 1, ACR
P04, 1, 0, 2, EW
P04, 1, 1, 1, CSA
P04, 1, 1, 2, LVAD
P04, 0, 0, 1, ACR
P04, 0, 0, 2, LVAD
P04, 0, 1, 1, CSA
P04, 0, 1, 2, EW
P05, 0, 0, 1, ACR
P05, 0, 0, 2, LVAD
P05, 0, 1, 1, CSA
P05, 0, 1, 2, EW
P05, 1, 0, 1, ACR
P05, 1, 0, 2, EW
P05, 1, 1, 1, CSA
P05, 1, 1, 2, LVAD
P06, 0, 0, 1, CSA
P06, 0, 0, 2, EW
P06, 0, 1, 1, ACR
P06, 0, 1, 2, EW
P06, 1, 0, 1, CSA
P06, 1, 0, 2, LVAD
P06, 1, 1, 1, ACR
P06, 1, 1, 2, LVAD
