Participant_ID,Text Presentation Technique,Audio Assistance,Average Brake Actuation (in %)
P06,STP,Audio Assistance Disabled,12.16370512820513
P06,STP,Audio Assistance Disabled,10.713453846153847
P06,STP,Audio Assistance Enabled,23.029360147601473
P06,STP,Audio Assistance Enabled,12.99156787878788
P06,RSVP,Audio Assistance Disabled,12.90119512195122
P06,RSVP,Audio Assistance Enabled,4.603020000000001
P06,RSVP,Audio Assistance Enabled,25.180658256880733
P07,STP,Audio Assistance Disabled,37.247438461538465
P07,STP,Audio Assistance Disabled,17.36730966183575
P07,STP,Audio Assistance Enabled,28.213309722222224
P07,RSVP,Audio Assistance Disabled,15.438388198757766
P07,RSVP,Audio Assistance Disabled,38.416900000000005
P07,RSVP,Audio Assistance Enabled,12.463135384615384
P07,RSVP,Audio Assistance Enabled,16.62740192307692
P08,STP,Audio Assistance Disabled,12.16093361344538
P08,STP,Audio Assistance Disabled,36.39500256410257
P08,STP,Audio Assistance Enabled,15.883209345794388
P08,STP,Audio Assistance Enabled,19.329015384615385
P08,RSVP,Audio Assistance Disabled,1.4513303797468353
P08,RSVP,Audio Assistance Disabled,19.3930873015873
P08,RSVP,Audio Assistance Enabled,15.723173750000003
P08,RSVP,Audio Assistance Enabled,11.436102702702701
P10,STP,Audio Assistance Disabled,33.93485621890547
P10,STP,Audio Assistance Disabled,14.762324999999999
P10,STP,Audio Assistance Enabled,18.30849108280255
P10,STP,Audio Assistance Enabled,20.244711538461544
P10,RSVP,Audio Assistance Disabled,19.548693537414966
P10,RSVP,Audio Assistance Disabled,18.801709166666665
P10,RSVP,Audio Assistance Enabled,19.39035378151261
P10,RSVP,Audio Assistance Enabled,47.32133058823529
P11,STP,Audio Assistance Disabled,15.225624719101122
P11,STP,Audio Assistance Disabled,26.531274585635362
P11,STP,Audio Assistance Enabled,18.562364406779654
P11,STP,Audio Assistance Enabled,14.640429565217392
P11,RSVP,Audio Assistance Disabled,21.616690456431535
P11,RSVP,Audio Assistance Disabled,8.826542222222221
P11,RSVP,Audio Assistance Enabled,20.39048787878788
P11,RSVP,Audio Assistance Enabled,19.868447517730495
P12,STP,Audio Assistance Disabled,0.0
P12,STP,Audio Assistance Disabled,19.59957514450867
P12,STP,Audio Assistance Enabled,12.013934042553192
P12,STP,Audio Assistance Enabled,0.0
P12,RSVP,Audio Assistance Disabled,0.0
P12,RSVP,Audio Assistance Disabled,33.783501904761906
P12,RSVP,Audio Assistance Enabled,0.0
P12,RSVP,Audio Assistance Enabled,0.0
P13,STP,Audio Assistance Disabled,38.43485228758169
P13,STP,Audio Assistance Disabled,26.809367499999997
P13,STP,Audio Assistance Enabled,17.62123733905579
P13,STP,Audio Assistance Enabled,14.963018987341773
P13,RSVP,Audio Assistance Disabled,33.96404907407408
P13,RSVP,Audio Assistance Disabled,18.35970752688172
P13,RSVP,Audio Assistance Enabled,19.80161693548387
P13,RSVP,Audio Assistance Enabled,19.127925000000005
P14,STP,Audio Assistance Disabled,15.650140112994354
P14,STP,Audio Assistance Disabled,43.67030729483283
P14,STP,Audio Assistance Enabled,4.544820312500001
P14,STP,Audio Assistance Enabled,14.604490262172284
P14,RSVP,Audio Assistance Disabled,5.3682537037037035
P14,RSVP,Audio Assistance Disabled,31.38944794007491
P14,RSVP,Audio Assistance Enabled,14.707906563706565
P14,RSVP,Audio Assistance Enabled,16.652205439330544
P15,STP,Audio Assistance Disabled,0.0
P15,STP,Audio Assistance Disabled,22.342908938547488
P15,STP,Audio Assistance Enabled,9.681761428571429
P15,STP,Audio Assistance Enabled,0.0
P15,RSVP,Audio Assistance Disabled,0.0
P15,RSVP,Audio Assistance Disabled,28.982631858407082
P15,RSVP,Audio Assistance Enabled,0.0
P15,RSVP,Audio Assistance Enabled,9.003356637168142
P16,STP,Audio Assistance Disabled,13.700246745562131
P16,STP,Audio Assistance Disabled,0.0
P16,STP,Audio Assistance Enabled,27.306245045045046
P16,STP,Audio Assistance Enabled,14.516026956521738
