Participant_ID,Text Presentation Technique,Audio Assistance,Lane Position Offset (in meters)
P06,STP,Audio Assistance Disabled,0.4849954859444444
P06,STP,Audio Assistance Disabled,0.4574125583749997
P06,STP,Audio Assistance Enabled,0.4119847922173914
P06,STP,Audio Assistance Enabled,0.26958439162195125
P06,RSVP,Audio Assistance Disabled,0.7540527439047621
P06,RSVP,Audio Assistance Disabled,0.2371995517083333
P06,RSVP,Audio Assistance Enabled,0.6925903934285714
P07,STP,Audio Assistance Disabled,0.5732017381428571
P07,STP,Audio Assistance Disabled,0.7120979678070176
P07,STP,Audio Assistance Enabled,1.2882799105102036
P07,STP,Audio Assistance Enabled,0.727556502094203
P07,RSVP,Audio Assistance Disabled,0.9529972560673076
P07,RSVP,Audio Assistance Disabled,1.2388549372500004
P07,RSVP,Audio Assistance Enabled,0.940801901
P07,RSVP,Audio Assistance Enabled,0.7593452161549291
P08,STP,Audio Assistance Disabled,0.6271698057499998
P08,STP,Audio Assistance Disabled,0.25421827929687496
P08,STP,Audio Assistance Enabled,0.5520868559333335
P08,STP,Audio Assistance Enabled,0.5179504074444444
P08,RSVP,Audio Assistance Disabled,0.6630372326666668
P08,RSVP,Audio Assistance Disabled,0.5918701810476191
P08,RSVP,Audio Assistance Enabled,0.643455559952381
P08,RSVP,Audio Assistance Enabled,0.3621618625555556
P10,STP,Audio Assistance Disabled,0.1689380736190476
P10,STP,Audio Assistance Enabled,0.5413046312000002
P10,STP,Audio Assistance Enabled,0.49659985632608716
P10,RSVP,Audio Assistance Disabled,0.5425102392325581
P10,RSVP,Audio Assistance Disabled,0.7456820338157897
P10,RSVP,Audio Assistance Enabled,0.6405062425294117
P10,RSVP,Audio Assistance Enabled,0.6683731197619048
P11,STP,Audio Assistance Disabled,0.5976818909833332
P11,STP,Audio Assistance Disabled,0.5977174324285714
P11,STP,Audio Assistance Enabled,0.49005554519999994
P11,STP,Audio Assistance Enabled,0.34532405474999994
P11,RSVP,Audio Assistance Disabled,0.49080905848333356
P11,RSVP,Audio Assistance Disabled,0.4834126206666666
P11,RSVP,Audio Assistance Enabled,0.5134975074666666
P11,RSVP,Audio Assistance Enabled,0.592625591952381
P12,STP,Audio Assistance Disabled,0.6752839660697671
P12,STP,Audio Assistance Disabled,0.7867038618444444
P12,STP,Audio Assistance Enabled,0.4382328048499999
P12,STP,Audio Assistance Enabled,0.45647180157894734
P12,RSVP,Audio Assistance Disabled,0.8537826474761905
P12,RSVP,Audio Assistance Disabled,0.5087991210689653
P12,RSVP,Audio Assistance Enabled,0.7177942653809525
P12,RSVP,Audio Assistance Enabled,0.48359844693333337
P13,STP,Audio Assistance Disabled,0.6620359187804877
P13,STP,Audio Assistance Disabled,0.6734451182142857
P13,STP,Audio Assistance Enabled,0.9616273958857141
P13,STP,Audio Assistance Enabled,0.6647817006818184
P13,RSVP,Audio Assistance Disabled,0.6403891335882355
P13,RSVP,Audio Assistance Disabled,0.5522859279047619
P13,RSVP,Audio Assistance Enabled,0.7455264391315788
P13,RSVP,Audio Assistance Enabled,0.6652079163333334
P14,STP,Audio Assistance Disabled,0.36381635148571423
P14,STP,Audio Assistance Disabled,0.5425174285714286
P14,STP,Audio Assistance Enabled,0.39329290117073173
P14,STP,Audio Assistance Enabled,0.6683103787692295
