Participant_ID,Text Presentation Technique,Audio Assistance,Reaction Time (in secs.)
P06,STP,Audio Assistance Disabled,1.326714
P06,STP,Audio Assistance Disabled,0.914085
P06,STP,Audio Assistance Enabled,1.542885
P06,RSVP,Audio Assistance Disabled,0.50206
P06,RSVP,Audio Assistance Enabled,0.701355
P07,STP,Audio Assistance Disabled,0.729095
P07,STP,Audio Assistance Disabled,1.202431
P07,STP,Audio Assistance Enabled,1.193413
P07,STP,Audio Assistance Enabled,0.902668
P07,RSVP,Audio Assistance Disabled,1.203091
P07,RSVP,Audio Assistance Disabled,1.099854
P07,RSVP,Audio Assistance Enabled,0.912224
P07,RSVP,Audio Assistance Enabled,1.263657
P08,STP,Audio Assistance Disabled,1.190548
P08,STP,Audio Assistance Disabled,1.529163
P08,STP,Audio Assistance Enabled,1.066795
P08,STP,Audio Assistance Enabled,1.2766
P08,RSVP,Audio Assistance Disabled,1.197578
P08,RSVP,Audio Assistance Disabled,1.2201
P08,RSVP,Audio Assistance Enabled,1.1642
P08,RSVP,Audio Assistance Enabled,1.198895
P10,STP,Audio Assistance Disabled,1.244671
P10,STP,Audio Assistance Enabled,0.526329
P10,STP,Audio Assistance Enabled,1.491287
P10,RSVP,Audio Assistance Disabled,1.269157
P10,RSVP,Audio Assistance Disabled,1.287483
P10,RSVP,Audio Assistance Enabled,1.310951
P10,RSVP,Audio Assistance Enabled,1.219254
P11,STP,Audio Assistance Disabled,1.123974
P11,STP,Audio Assistance Disabled,1.197338
P11,STP,Audio Assistance Enabled,1.60524
P11,STP,Audio Assistance Enabled,1.531338
P11,RSVP,Audio Assistance Disabled,1.209881
P11,RSVP,Audio Assistance Enabled,1.03952
P11,RSVP,Audio Assistance Enabled,1.193825
P12,STP,Audio Assistance Disabled,1.186821
P12,STP,Audio Assistance Disabled,0.742725
P12,STP,Audio Assistance Enabled,1.272022
P12,STP,Audio Assistance Enabled,1.483635
P12,RSVP,Audio Assistance Disabled,0.953331
P12,RSVP,Audio Assistance Disabled,0.870209
P12,RSVP,Audio Assistance Enabled,0.667793
P12,RSVP,Audio Assistance Enabled,1.178169
P13,STP,Audio Assistance Disabled,1.115173
P13,STP,Audio Assistance Disabled,1.062798
P13,STP,Audio Assistance Enabled,1.184788
P13,STP,Audio Assistance Enabled,1.027897
P13,RSVP,Audio Assistance Disabled,1.033009
P13,RSVP,Audio Assistance Disabled,0.90699
P13,RSVP,Audio Assistance Enabled,1.185879
P13,RSVP,Audio Assistance Enabled,1.012329
P14,STP,Audio Assistance Disabled,0.876717
P14,STP,Audio Assistance Disabled,1.154362
P14,STP,Audio Assistance Enabled,1.717747
P14,STP,Audio Assistance Enabled,1.464703
P14,RSVP,Audio Assistance Disabled,1.335693
P14,RSVP,Audio Assistance Disabled,1.389595
P14,RSVP,Audio Assistance Enabled,1.363056
P14,RSVP,Audio Assistance Enabled,1.294415
P15,STP,Audio Assistance Disabled,1.008457
P15,STP,Audio Assistance Disabled,1.139
P15,STP,Audio Assistance Enabled,0.536934
P15,STP,Audio Assistance Enabled,1.294792
P15,RSVP,Audio Assistance Disabled,0.542595
P15,RSVP,Audio Assistance Enabled,1.530632
P15,RSVP,Audio Assistance Enabled,1.091095
P16,STP,Audio Assistance Disabled,1.077309
P16,STP,Audio Assistance Enabled,1.252716
P16,STP,Audio Assistance Enabled,1.909481
P16,RSVP,Audio Assistance Disabled,1.413689
P16,RSVP,Audio Assistance Disabled,1.344139
P16,RSVP,Audio Assistance Enabled,1.311893
P16,RSVP,Audio Assistance Enabled,1.200584
P17,STP,Audio Assistance Disabled,1.225342
P17,STP,Audio Assistance Disabled,1.385891
P17,STP,Audio Assistance Enabled,1.568054
P17,STP,Audio Assistance Enabled,1.740192
P17,RSVP,Audio Assistance Disabled,1.708527
P17,RSVP,Audio Assistance Disabled,1.427895
P17,RSVP,Audio Assistance Enabled,1.090492
P17,RSVP,Audio Assistance Enabled,1.373642
P18,STP,Audio Assistance Disabled,0.962791
P18,STP,Audio Assistance Disabled,1.108757
P18,STP,Audio Assistance Enabled,1.0056
P18,RSVP,Audio Assistance Disabled,1.129601
P18,RSVP,Audio Assistance Disabled,0.91613
P18,RSVP,Audio Assistance Enabled,0.668472
P18,RSVP,Audio Assistance Enabled,0.781296
P19,STP,Audio Assistance Disabled,0.960117
P19,STP,Audio Assistance Disabled,0.793213
P19,STP,Audio Assistance Enabled,1.078114
P19,STP,Audio Assistance Enabled,1.148663
P19,RSVP,Audio Assistance Disabled,1.284027
P19,RSVP,Audio Assistance Disabled,1.547417
P19,RSVP,Audio Assistance Enabled,1.374702
P19,RSVP,Audio Assistance Enabled,1.217995
P20,STP,Audio Assistance Disabled,1.151539
P20,STP,Audio Assistance Disabled,1.244385
P20,STP,Audio Assistance Enabled,0.887207
P20,STP,Audio Assistance Enabled,0.98373
P20,RSVP,Audio Assistance Disabled,1.045532
P20,RSVP,Audio Assistance Disabled,1.0588
P20,RSVP,Audio Assistance Enabled,0.845318
P20,RSVP,Audio Assistance Enabled,0.880028
P21,STP,Audio Assistance Disabled,0.96619
P21,STP,Audio Assistance Disabled,0.893669
P21,STP,Audio Assistance Enabled,0.734722
P21,RSVP,Audio Assistance Disabled,0.994347
P21,RSVP,Audio Assistance Disabled,1.015743
P21,RSVP,Audio Assistance Enabled,1.130753
P21,RSVP,Audio Assistance Enabled,0.753265
P22,STP,Audio Assistance Disabled,1.257847
P22,STP,Audio Assistance Enabled,1.532158
P22,RSVP,Audio Assistance Disabled,1.84964
P22,RSVP,Audio Assistance Disabled,1.136093
P22,RSVP,Audio Assistance Enabled,1.023205
P23,STP,Audio Assistance Disabled,0.998917
P23,STP,Audio Assistance Disabled,1.545113
P23,STP,Audio Assistance Enabled,1.076923
P23,STP,Audio Assistance Enabled,1.275249
P23,RSVP,Audio Assistance Disabled,1.097412
P23,RSVP,Audio Assistance Disabled,1.043961
P23,RSVP,Audio Assistance Enabled,1.209934
P23,RSVP,Audio Assistance Enabled,1.066059
P24,STP,Audio Assistance Disabled,1.327511
P24,STP,Audio Assistance Disabled,1.317333
P24,STP,Audio Assistance Enabled,1.386482
P24,STP,Audio Assistance Enabled,0.931496
P24,RSVP,Audio Assistance Disabled,0.979607
P24,RSVP,Audio Assistance Disabled,1.139198
P24,RSVP,Audio Assistance Enabled,1.252277
P25,STP,Audio Assistance Disabled,1.390369
P25,STP,Audio Assistance Disabled,1.216526
P25,STP,Audio Assistance Enabled,1.192898
P25,STP,Audio Assistance Enabled,1.192112
P25,RSVP,Audio Assistance Disabled,1.360889
P25,RSVP,Audio Assistance Enabled,0.755791
P25,RSVP,Audio Assistance Enabled,1.596859
P26,STP,Audio Assistance Disabled,0.727501
P26,STP,Audio Assistance Disabled,0.888004
P26,STP,Audio Assistance Enabled,0.815369
P26,STP,Audio Assistance Enabled,0.652451
P26,RSVP,Audio Assistance Disabled,1.288132
P26,RSVP,Audio Assistance Disabled,1.024567
P26,RSVP,Audio Assistance Enabled,0.94257
P26,RSVP,Audio Assistance Enabled,0.93623
P27,STP,Audio Assistance Disabled,1.457748
P27,STP,Audio Assistance Enabled,1.393082
P27,STP,Audio Assistance Enabled,1.032768
P27,RSVP,Audio Assistance Disabled,1.386116
P27,RSVP,Audio Assistance Disabled,1.362484
P27,RSVP,Audio Assistance Enabled,1.163963
P27,RSVP,Audio Assistance Enabled,1.316288
P28,STP,Audio Assistance Disabled,1.490349
P28,STP,Audio Assistance Disabled,1.075359
P28,STP,Audio Assistance Enabled,1.327019
P28,STP,Audio Assistance Enabled,1.328842
P28,RSVP,Audio Assistance Disabled,1.24781
P28,RSVP,Audio Assistance Disabled,1.134712
P28,RSVP,Audio Assistance Enabled,1.167866
P29,STP,Audio Assistance Disabled,0.806103
P29,STP,Audio Assistance Disabled,0.741268
P29,STP,Audio Assistance Enabled,1.079895
P29,STP,Audio Assistance Enabled,0.893383
P29,RSVP,Audio Assistance Disabled,0.803745
P29,RSVP,Audio Assistance Disabled,0.79248
P29,RSVP,Audio Assistance Enabled,0.964645
P29,RSVP,Audio Assistance Enabled,0.713497
P30,STP,Audio Assistance Disabled,0.918629
P30,STP,Audio Assistance Disabled,0.786224
P30,STP,Audio Assistance Enabled,0.911705
P30,STP,Audio Assistance Enabled,1.040863
P30,RSVP,Audio Assistance Disabled,1.021996
P30,RSVP,Audio Assistance Disabled,0.806599
P30,RSVP,Audio Assistance Enabled,1.168228
P30,RSVP,Audio Assistance Enabled,0.902184
