Participant_ID,Text Presentation Technique,Audio Assistance,Standard Deviation in Lane Position (in meters)
P06,STP,Audio Assistance Disabled,0.2848480684502463
P06,STP,Audio Assistance Disabled,0.19840283921136664
P06,STP,Audio Assistance Enabled,0.19632742704710737
P06,STP,Audio Assistance Enabled,0.30038105976618557
P06,RSVP,Audio Assistance Disabled,0.5185883502774338
P06,RSVP,Audio Assistance Disabled,0.10803528491119413
P06,RSVP,Audio Assistance Enabled,0.41039189394042436
P07,STP,Audio Assistance Disabled,0.34273630730052124
P07,STP,Audio Assistance Disabled,0.3527454777710514
P07,STP,Audio Assistance Enabled,0.23073072182361118
P07,STP,Audio Assistance Enabled,0.5293577475254078
P07,RSVP,Audio Assistance Disabled,0.25843246573078554
P07,RSVP,Audio Assistance Disabled,0.19050214572334584
P07,RSVP,Audio Assistance Enabled,0.5987749662382158
P07,RSVP,Audio Assistance Enabled,0.5777167198525848
P08,STP,Audio Assistance Disabled,0.14896525196881405
P08,STP,Audio Assistance Disabled,0.3237992297916022
P08,STP,Audio Assistance Enabled,0.1778620890079072
P08,STP,Audio Assistance Enabled,0.46624746810727036
P08,RSVP,Audio Assistance Disabled,0.33790388046431935
P08,RSVP,Audio Assistance Disabled,0.434861178232357
P08,RSVP,Audio Assistance Enabled,0.429023283402444
P08,RSVP,Audio Assistance Enabled,0.3134074179827837
P10,STP,Audio Assistance Disabled,0.3799350464955832
P10,STP,Audio Assistance Disabled,0.07055037198518231
P10,STP,Audio Assistance Enabled,0.29342542163531526
P10,STP,Audio Assistance Enabled,0.21301884364172904
P10,RSVP,Audio Assistance Disabled,0.19488633944387102
P10,RSVP,Audio Assistance Disabled,0.37672454271610106
P10,RSVP,Audio Assistance Enabled,0.2600830136273105
P10,RSVP,Audio Assistance Enabled,0.3325382904516589
P11,STP,Audio Assistance Disabled,0.2918925169498915
P11,STP,Audio Assistance Disabled,0.40204568009113667
P11,STP,Audio Assistance Enabled,0.26010184373549977
P11,STP,Audio Assistance Enabled,0.07661640583843107
P11,RSVP,Audio Assistance Disabled,0.32583509829193347
P11,RSVP,Audio Assistance Disabled,0.30008528119847977
P11,RSVP,Audio Assistance Enabled,0.24182857224938567
P11,RSVP,Audio Assistance Enabled,0.27103530557378835
P12,STP,Audio Assistance Disabled,0.2897724184787317
P12,STP,Audio Assistance Disabled,0.37414012871948155
P12,STP,Audio Assistance Enabled,0.19193462981093043
P12,STP,Audio Assistance Enabled,0.30300441547869533
P12,RSVP,Audio Assistance Disabled,0.5833447367739042
P12,RSVP,Audio Assistance Enabled,0.432886272770037
P12,RSVP,Audio Assistance Enabled,0.3783564390152274
P13,STP,Audio Assistance Disabled,0.2097101970938589
P13,STP,Audio Assistance Disabled,0.17626631003897333
P13,STP,Audio Assistance Enabled,0.38240087508287773
P13,STP,Audio Assistance Enabled,0.31566879581970414
P13,RSVP,Audio Assistance Disabled,0.29780836593120047
P13,RSVP,Audio Assistance Disabled,0.2664246797191783
P13,RSVP,Audio Assistance Enabled,0.3389012127940516
P13,RSVP,Audio Assistance Enabled,0.3256961387980787
P14,STP,Audio Assistance Disabled,0.23585055122347043
P14,STP,Audio Assistance Disabled,0.14452840289441393
P14,STP,Audio Assistance Enabled,0.19152294468297093
P14,STP,Audio Assistance Enabled,0.311170024787976
P14,RSVP,Audio Assistance Disabled,0.11876634416946556
P14,RSVP,Audio Assistance Disabled,0.09506625643503765
P14,RSVP,Audio Assistance Enabled,0.4416344877779306
P14,RSVP,Audio Assistance Enabled,0.2728886570915751
P15,STP,Audio Assistance Disabled,0.24083799213598142
P15,STP,Audio Assistance Disabled,0.39089676572676785
P15,STP,Audio Assistance Enabled,0.34948982084072144
P15,STP,Audio Assistance Enabled,0.4568484391871603
P15,RSVP,Audio Assistance Disabled,0.43340010580534366
P15,RSVP,Audio Assistance Disabled,0.22973429453609567
P15,RSVP,Audio Assistance Enabled,0.5984796924321306
P15,RSVP,Audio Assistance Enabled,0.33832707118336963
P16,STP,Audio Assistance Disabled,0.4076516688926504
P16,STP,Audio Assistance Enabled,0.3105374484118282
P16,STP,Audio Assistance Enabled,0.3884362031095215
P16,RSVP,Audio Assistance Disabled,0.36427886556622463
P16,RSVP,Audio Assistance Disabled,0.49518916377076794
P16,RSVP,Audio Assistance Enabled,0.4944908164758144
P16,RSVP,Audio Assistance Enabled,0.4641206332958993
P17,STP,Audio Assistance Disabled,0.24446057384354195
P17,STP,Audio Assistance Disabled,0.41053279897464723
P17,STP,Audio Assistance Enabled,0.30703866285197207
P17,STP,Audio Assistance Enabled,0.18436702534509022
P17,RSVP,Audio Assistance Disabled,0.3565347606442171
P17,RSVP,Audio Assistance Disabled,0.14236433956048605
P17,RSVP,Audio Assistance Enabled,0.4891471611280431
P17,RSVP,Audio Assistance Enabled,0.288466585527346
P18,STP,Audio Assistance Disabled,0.4222336328143252
P18,STP,Audio Assistance Disabled,0.3509230620424112
P18,STP,Audio Assistance Enabled,0.25670112672560347
P18,STP,Audio Assistance Enabled,0.5038582703409769
P18,RSVP,Audio Assistance Disabled,0.32893303078700986
P18,RSVP,Audio Assistance Disabled,0.5885702393974831
P18,RSVP,Audio Assistance Enabled,0.26055202245517695
P18,RSVP,Audio Assistance Enabled,0.2362570631067503
P19,STP,Audio Assistance Disabled,0.5741747148037992
P19,STP,Audio Assistance Disabled,0.5309205270313656
P19,STP,Audio Assistance Enabled,0.17889705455388058
P19,STP,Audio Assistance Enabled,0.3985130822895323
P19,RSVP,Audio Assistance Disabled,0.3465460897715471
P19,RSVP,Audio Assistance Disabled,0.2197318289604039
P19,RSVP,Audio Assistance Enabled,0.3481878828868459
P19,RSVP,Audio Assistance Enabled,0.5152014274096351
P20,STP,Audio Assistance Disabled,0.26788763826334283
P20,STP,Audio Assistance Disabled,0.05838638669394675
P20,STP,Audio Assistance Enabled,0.2101099410975742
P20,STP,Audio Assistance Enabled,0.26939392818348284
P20,RSVP,Audio Assistance Disabled,0.20738113570879238
P20,RSVP,Audio Assistance Disabled,0.5043387983452349
P20,RSVP,Audio Assistance Enabled,0.38588993126226345
P20,RSVP,Audio Assistance Enabled,0.2040552909314927
P21,STP,Audio Assistance Disabled,0.394778362536219
P21,STP,Audio Assistance Enabled,0.41021969928578217
P21,RSVP,Audio Assistance Disabled,0.31953066896737625
P21,RSVP,Audio Assistance Disabled,0.1960655534898426
P21,RSVP,Audio Assistance Enabled,0.1517169639383083
P21,RSVP,Audio Assistance Enabled,0.16702716932290324
P22,STP,Audio Assistance Disabled,0.12826884872343822
P22,STP,Audio Assistance Disabled,0.13086297046373127
P22,STP,Audio Assistance Enabled,0.5191043639983982
P22,RSVP,Audio Assistance Disabled,0.25154021036657465
P22,RSVP,Audio Assistance Disabled,0.5580656736091023
P22,RSVP,Audio Assistance Enabled,0.48930075501610504
P22,RSVP,Audio Assistance Enabled,0.29061509527977925
P23,STP,Audio Assistance Disabled,0.3261567209012704
P23,STP,Audio Assistance Disabled,0.20339922679878003
P23,STP,Audio Assistance Enabled,0.1850156660415532
P23,STP,Audio Assistance Enabled,0.39779877804121755
P23,RSVP,Audio Assistance Disabled,0.309741992593976
P23,RSVP,Audio Assistance Enabled,0.4252373725388866
P23,RSVP,Audio Assistance Enabled,0.31556160107356107
P24,STP,Audio Assistance Disabled,0.29205928244171125
P24,STP,Audio Assistance Disabled,0.36291074812060226
P24,STP,Audio Assistance Enabled,0.5399820350845396
P24,STP,Audio Assistance Enabled,0.18740723058144165
P24,RSVP,Audio Assistance Disabled,0.2735175076136705
P24,RSVP,Audio Assistance Disabled,0.33558090549979286
P24,RSVP,Audio Assistance Enabled,0.36124555323919855
