Participant_ID,TPT,AA,SDSWA
P06,STP,Audio Assistance Disabled,16.63820217
P06,STP,Audio Assistance Disabled,12.04811882
P06,STP,Audio Assistance Enabled,7.251045449
P06,STP,Audio Assistance Enabled,18.19686799
P06,RSVP,Audio Assistance Disabled,30.41195319
P06,RSVP,Audio Assistance Enabled,28.93669551
P07,STP,Audio Assistance Disabled,14.76097539
P07,STP,Audio Assistance Disabled,18.52580432
P07,STP,Audio Assistance Enabled,13.67501785
P07,STP,Audio Assistance Enabled,18.45698429
P07,RSVP,Audio Assistance Disabled,13.7198313
P07,RSVP,Audio Assistance Disabled,13.79443019
P07,RSVP,Audio Assistance Enabled,42.19532388
P07,RSVP,Audio Assistance Enabled,17.43464562
P08,STP,Audio Assistance Disabled,9.313700111
P08,STP,Audio Assistance Disabled,9.113267391
P08,STP,Audio Assistance Enabled,7.967089151
P08,STP,Audio Assistance Enabled,9.078155906
P08,RSVP,Audio Assistance Disabled,33.76741997
P08,RSVP,Audio Assistance Disabled,7.779567297
P08,RSVP,Audio Assistance Enabled,27.7799002
P08,RSVP,Audio Assistance Enabled,7.512164546
P10,STP,Audio Assistance Disabled,13.77614636
P10,STP,Audio Assistance Disabled,6.335708928
P10,STP,Audio Assistance Enabled,24.51443118
P10,STP,Audio Assistance Enabled,18.07745708
P10,RSVP,Audio Assistance Disabled,24.54085019
P10,RSVP,Audio Assistance Disabled,8.27999125
P10,RSVP,Audio Assistance Enabled,12.09482667
P10,RSVP,Audio Assistance Enabled,38.28427835
P11,STP,Audio Assistance Disabled,14.99346053
P11,STP,Audio Assistance Disabled,15.8802785
P11,STP,Audio Assistance Enabled,10.54387174
P11,STP,Audio Assistance Enabled,10.75272392
P11,RSVP,Audio Assistance Disabled,8.823238967
P11,RSVP,Audio Assistance Disabled,12.79357126
P11,RSVP,Audio Assistance Enabled,16.71602585
P11,RSVP,Audio Assistance Enabled,12.41742
P12,STP,Audio Assistance Disabled,13.8625985
P12,STP,Audio Assistance Disabled,13.67065861
P12,STP,Audio Assistance Enabled,17.72669212
P12,STP,Audio Assistance Enabled,12.51148647
P12,RSVP,Audio Assistance Disabled,34.805231
P12,RSVP,Audio Assistance Disabled,38.54294205
P12,RSVP,Audio Assistance Enabled,36.80512712
P12,RSVP,Audio Assistance Enabled,15.81775536
P13,STP,Audio Assistance Disabled,14.75152127
P13,STP,Audio Assistance Disabled,28.30476956
P13,STP,Audio Assistance Enabled,34.3345995
P13,STP,Audio Assistance Enabled,17.31412517
P13,RSVP,Audio Assistance Disabled,12.16886545
P13,RSVP,Audio Assistance Disabled,17.28588224
P13,RSVP,Audio Assistance Enabled,40.86960835
P14,STP,Audio Assistance Disabled,12.14912238
P14,STP,Audio Assistance Disabled,6.502927185
P14,STP,Audio Assistance Enabled,18.20086932
P14,STP,Audio Assistance Enabled,16.74980514
P14,RSVP,Audio Assistance Disabled,13.62943465
P14,RSVP,Audio Assistance Disabled,9.438159702
P14,RSVP,Audio Assistance Enabled,33.67304257
P14,RSVP,Audio Assistance Enabled,21.54531799
P15,STP,Audio Assistance Disabled,12.99607632
P15,STP,Audio Assistance Enabled,10.9601516
P15,STP,Audio Assistance Enabled,28.17722783
P15,RSVP,Audio Assistance Disabled,25.20091706
P15,RSVP,Audio Assistance Disabled,46.05529641
P15,RSVP,Audio Assistance Enabled,16.42294043
P15,RSVP,Audio Assistance Enabled,43.40308978
P16,STP,Audio Assistance Disabled,23.55971388
P16,STP,Audio Assistance Disabled,32.25618266
P16,STP,Audio Assistance Enabled,10.24387655
P16,STP,Audio Assistance Enabled,15.52497301
P16,RSVP,Audio Assistance Disabled,14.40600258
P16,RSVP,Audio Assistance Disabled,34.6179869
P16,RSVP,Audio Assistance Enabled,32.15992205
P16,RSVP,Audio Assistance Enabled,57.38943738
P17,STP,Audio Assistance Disabled,9.462510361
P17,STP,Audio Assistance Disabled,13.8682122
P17,STP,Audio Assistance Enabled,20.59895559
P17,STP,Audio Assistance Enabled,7.342597491
P17,RSVP,Audio Assistance Disabled,18.97276346
P17,RSVP,Audio Assistance Disabled,23.09935076
P17,RSVP,Audio Assistance Enabled,35.43768998
P17,RSVP,Audio Assistance Enabled,9.635822023
P18,STP,Audio Assistance Disabled,25.63851143
P18,STP,Audio Assistance Disabled,16.55432812
P18,STP,Audio Assistance Enabled,10.45437753
P18,STP,Audio Assistance Enabled,20.02576246
P18,RSVP,Audio Assistance Disabled,7.749931613
P18,RSVP,Audio Assistance Disabled,38.27480989
P18,RSVP,Audio Assistance Enabled,28.47211335
P18,RSVP,Audio Assistance Enabled,7.127321119
P19,STP,Audio Assistance Disabled,10.24085526
P19,STP,Audio Assistance Disabled,19.65661175
P19,STP,Audio Assistance Enabled,6.755566457
P19,STP,Audio Assistance Enabled,19.42686487
P19,RSVP,Audio Assistance Disabled,21.59538259
P19,RSVP,Audio Assistance Disabled,11.0990562
P19,RSVP,Audio Assistance Enabled,22.99927246
P19,RSVP,Audio Assistance Enabled,17.88385804
P20,STP,Audio Assistance Disabled,33.58944909
P20,STP,Audio Assistance Disabled,8.538971844
P20,STP,Audio Assistance Enabled,31.93056535
P20,STP,Audio Assistance Enabled,9.544810354
P20,RSVP,Audio Assistance Disabled,41.10330094
P20,RSVP,Audio Assistance Disabled,10.85608066
P20,RSVP,Audio Assistance Enabled,12.08998352
P20,RSVP,Audio Assistance Enabled,52.71046776
P21,STP,Audio Assistance Disabled,8.571589754
P21,STP,Audio Assistance Enabled,14.52993938
P21,RSVP,Audio Assistance Disabled,9.725813423
P21,RSVP,Audio Assistance Enabled,8.249680901
P21,RSVP,Audio Assistance Enabled,7.076031108
P22,STP,Audio Assistance Disabled,19.12694353
P22,STP,Audio Assistance Enabled,26.6925406
P22,RSVP,Audio Assistance Disabled,10.87414182
P22,RSVP,Audio Assistance Enabled,28.16375124
P22,RSVP,Audio Assistance Enabled,23.21958942
P23,STP,Audio Assistance Disabled,10.67190881
P23,STP,Audio Assistance Enabled,10.42015945
P23,STP,Audio Assistance Enabled,28.95359898
P23,RSVP,Audio Assistance Disabled,17.76561554
P23,RSVP,Audio Assistance Disabled,12.45562154
P23,RSVP,Audio Assistance Enabled,11.99795906
P24,STP,Audio Assistance Disabled,11.52835553
P24,STP,Audio Assistance Disabled,24.28545645
P24,STP,Audio Assistance Enabled,14.64819075
P24,RSVP,Audio Assistance Disabled,7.535836328
P24,RSVP,Audio Assistance Disabled,16.07871652
P24,RSVP,Audio Assistance Enabled,12.26593397
P25,STP,Audio Assistance Disabled,26.16810683
P25,STP,Audio Assistance Disabled,20.26494174
P25,STP,Audio Assistance Enabled,7.388941277
P25,STP,Audio Assistance Enabled,13.55205479
P25,RSVP,Audio Assistance Disabled,9.322367906
P25,RSVP,Audio Assistance Disabled,7.095656885
P25,RSVP,Audio Assistance Enabled,28.05497377
P25,RSVP,Audio Assistance Enabled,43.51048588
P26,STP,Audio Assistance Disabled,13.25571739
P26,STP,Audio Assistance Disabled,17.23854141
P26,STP,Audio Assistance Enabled,9.788780778
P26,STP,Audio Assistance Enabled,7.089521808
P26,RSVP,Audio Assistance Disabled,15.19445779
P26,RSVP,Audio Assistance Disabled,7.828867309
P26,RSVP,Audio Assistance Enabled,7.806480025
P26,RSVP,Audio Assistance Enabled,24.77851553
P27,STP,Audio Assistance Disabled,25.51919696
P27,STP,Audio Assistance Disabled,14.09099901
P27,STP,Audio Assistance Enabled,8.141938117
P27,RSVP,Audio Assistance Disabled,10.33917718
P27,RSVP,Audio Assistance Disabled,28.73508336
P27,RSVP,Audio Assistance Enabled,13.39128755
P27,RSVP,Audio Assistance Enabled,14.90990651
P28,STP,Audio Assistance Disabled,19.769209
P28,STP,Audio Assistance Enabled,16.91663544
P28,STP,Audio Assistance Enabled,35.47074539
P28,RSVP,Audio Assistance Disabled,24.53815694
P28,RSVP,Audio Assistance Disabled,28.2298638
P28,RSVP,Audio Assistance Enabled,49.22340007
P29,STP,Audio Assistance Disabled,16.16740377
P29,STP,Audio Assistance Disabled,8.463708284
P29,STP,Audio Assistance Enabled,11.60727259
P29,RSVP,Audio Assistance Disabled,47.78111949
P29,RSVP,Audio Assistance Disabled,17.45909253
P29,RSVP,Audio Assistance Enabled,12.5680496
P29,RSVP,Audio Assistance Enabled,19.77644497
P30,STP,Audio Assistance Disabled,10.38367715
P30,STP,Audio Assistance Disabled,2.80628309
P30,STP,Audio Assistance Enabled,8.291322101
P30,STP,Audio Assistance Enabled,10.79478641
P30,RSVP,Audio Assistance Enabled,8.856637675
P30,RSVP,Audio Assistance Enabled,4.086433375
