Participant_ID,TPT,AA,ABA
P06,STP,Audio Assistance Disabled,12.16370513
P06,STP,Audio Assistance Disabled,10.71345385
P06,STP,Audio Assistance Enabled,23.02936015
P06,STP,Audio Assistance Enabled,12.99156788
P06,RSVP,Audio Assistance Disabled,12.90119512
P06,RSVP,Audio Assistance Enabled,4.60302
P06,RSVP,Audio Assistance Enabled,25.18065826
P07,STP,Audio Assistance Disabled,37.24743846
P07,STP,Audio Assistance Disabled,17.36730966
P07,STP,Audio Assistance Enabled,28.21330972
P07,RSVP,Audio Assistance Disabled,15.4383882
P07,RSVP,Audio Assistance Disabled,38.4169
P07,RSVP,Audio Assistance Enabled,12.46313538
P07,RSVP,Audio Assistance Enabled,16.62740192
P08,STP,Audio Assistance Disabled,12.16093361
P08,STP,Audio Assistance Disabled,36.39500256
P08,STP,Audio Assistance Enabled,15.88320935
P08,STP,Audio Assistance Enabled,19.32901538
P08,RSVP,Audio Assistance Disabled,1.45133038
P08,RSVP,Audio Assistance Disabled,19.3930873
P08,RSVP,Audio Assistance Enabled,15.72317375
P08,RSVP,Audio Assistance Enabled,11.4361027
P10,STP,Audio Assistance Disabled,33.93485622
P10,STP,Audio Assistance Disabled,14.762325
P10,STP,Audio Assistance Enabled,18.30849108
P10,STP,Audio Assistance Enabled,20.24471154
P10,RSVP,Audio Assistance Disabled,19.54869354
P10,RSVP,Audio Assistance Disabled,18.80170917
P10,RSVP,Audio Assistance Enabled,19.39035378
P10,RSVP,Audio Assistance Enabled,47.32133059
P11,STP,Audio Assistance Disabled,15.22562472
P11,STP,Audio Assistance Disabled,26.53127459
P11,STP,Audio Assistance Enabled,18.56236441
P11,STP,Audio Assistance Enabled,14.64042957
P11,RSVP,Audio Assistance Disabled,21.61669046
P11,RSVP,Audio Assistance Disabled,8.826542222
P11,RSVP,Audio Assistance Enabled,20.39048788
P11,RSVP,Audio Assistance Enabled,19.86844752
P12,STP,Audio Assistance Disabled,0
P12,STP,Audio Assistance Disabled,19.59957514
P12,STP,Audio Assistance Enabled,12.01393404
P12,STP,Audio Assistance Enabled,0
P12,RSVP,Audio Assistance Disabled,0
P12,RSVP,Audio Assistance Disabled,33.7835019
P12,RSVP,Audio Assistance Enabled,0
P12,RSVP,Audio Assistance Enabled,0
P13,STP,Audio Assistance Disabled,38.43485229
P13,STP,Audio Assistance Disabled,26.8093675
P13,STP,Audio Assistance Enabled,17.62123734
P13,STP,Audio Assistance Enabled,14.96301899
P13,RSVP,Audio Assistance Disabled,33.96404907
P13,RSVP,Audio Assistance Disabled,18.35970753
P13,RSVP,Audio Assistance Enabled,19.80161694
P13,RSVP,Audio Assistance Enabled,19.127925
P14,STP,Audio Assistance Disabled,15.65014011
P14,STP,Audio Assistance Disabled,43.67030729
P14,STP,Audio Assistance Enabled,4.544820313
P14,STP,Audio Assistance Enabled,14.60449026
P14,RSVP,Audio Assistance Disabled,5.368253704
P14,RSVP,Audio Assistance Disabled,31.38944794
P14,RSVP,Audio Assistance Enabled,14.70790656
P14,RSVP,Audio Assistance Enabled,16.65220544
P15,STP,Audio Assistance Disabled,0
P15,STP,Audio Assistance Disabled,22.34290894
P15,STP,Audio Assistance Enabled,9.681761429
P15,STP,Audio Assistance Enabled,0
P15,RSVP,Audio Assistance Disabled,0
P15,RSVP,Audio Assistance Disabled,28.98263186
P15,RSVP,Audio Assistance Enabled,0
P15,RSVP,Audio Assistance Enabled,9.003356637
P16,STP,Audio Assistance Disabled,13.70024675
P16,STP,Audio Assistance Disabled,0
P16,STP,Audio Assistance Enabled,27.30624505
P16,STP,Audio Assistance Enabled,14.51602696
P16,RSVP,Audio Assistance Disabled,0
P16,RSVP,Audio Assistance Disabled,0
P16,RSVP,Audio Assistance Enabled,33.1563665
P16,RSVP,Audio Assistance Enabled,0
P17,STP,Audio Assistance Disabled,22.17869643
P17,STP,Audio Assistance Disabled,18.89347415
P17,STP,Audio Assistance Enabled,15.12716509
P17,STP,Audio Assistance Enabled,27.06468675
P17,RSVP,Audio Assistance Disabled,21.11921529
P17,RSVP,Audio Assistance Disabled,6.271675
P17,RSVP,Audio Assistance Enabled,27.79974333
P17,RSVP,Audio Assistance Enabled,16.7871398
P18,STP,Audio Assistance Disabled,20.26397921
P18,STP,Audio Assistance Disabled,33.20969032
P18,STP,Audio Assistance Enabled,15.78757941
P18,STP,Audio Assistance Enabled,20.86605111
P18,RSVP,Audio Assistance Disabled,19.35652081
P18,RSVP,Audio Assistance Disabled,0
P18,RSVP,Audio Assistance Enabled,27.73728134
P18,RSVP,Audio Assistance Enabled,11.05932793
P19,STP,Audio Assistance Disabled,34.94670615
P19,STP,Audio Assistance Enabled,21.27106647
P19,STP,Audio Assistance Enabled,7.050093252
P19,RSVP,Audio Assistance Disabled,5.004335185
P19,RSVP,Audio Assistance Disabled,30.30038299
P19,RSVP,Audio Assistance Enabled,21.60332784
P19,RSVP,Audio Assistance Enabled,0
P20,STP,Audio Assistance Disabled,14.39632456
P20,STP,Audio Assistance Disabled,21.50167398
P20,STP,Audio Assistance Enabled,33.65451962
P20,STP,Audio Assistance Enabled,11.94044886
P20,RSVP,Audio Assistance Disabled,9.870335156
P20,RSVP,Audio Assistance Disabled,15.99562018
P20,RSVP,Audio Assistance Enabled,17.6386113
P20,RSVP,Audio Assistance Enabled,19.99721648
P21,STP,Audio Assistance Disabled,13.06851311
P21,STP,Audio Assistance Enabled,11.23352069
P21,STP,Audio Assistance Enabled,36.95824623
P21,RSVP,Audio Assistance Disabled,17.51601667
P21,RSVP,Audio Assistance Enabled,38.15891208
P21,RSVP,Audio Assistance Enabled,33.15268028
P22,STP,Audio Assistance Disabled,17.62533704
P22,STP,Audio Assistance Disabled,0.7935
P22,STP,Audio Assistance Enabled,0
P22,STP,Audio Assistance Enabled,0
P22,RSVP,Audio Assistance Disabled,30.74393874
P22,RSVP,Audio Assistance Enabled,43.84737615
P22,RSVP,Audio Assistance Enabled,14.47343902
P23,STP,Audio Assistance Disabled,13.07375789
P23,STP,Audio Assistance Enabled,28.86703669
P23,STP,Audio Assistance Enabled,16.28582021
P23,RSVP,Audio Assistance Disabled,19.93259143
P23,RSVP,Audio Assistance Disabled,17.9283373
P23,RSVP,Audio Assistance Enabled,11.23978478
P24,STP,Audio Assistance Disabled,14.20720598
P24,STP,Audio Assistance Disabled,13.52546313
P24,STP,Audio Assistance Enabled,33.74060385
P24,STP,Audio Assistance Enabled,20.60191724
P24,RSVP,Audio Assistance Disabled,31.50130261
P24,RSVP,Audio Assistance Disabled,19.91255091
P24,RSVP,Audio Assistance Enabled,20.95777297
P24,RSVP,Audio Assistance Enabled,18.52293741
