Participant_ID,TPT,AA,ALPO
P06,STP,Audio Assistance Disabled,0.484995486
P06,STP,Audio Assistance Disabled,0.457412558
P06,STP,Audio Assistance Enabled,0.411984792
P06,STP,Audio Assistance Enabled,0.269584392
P06,RSVP,Audio Assistance Disabled,0.754052744
P06,RSVP,Audio Assistance Disabled,0.237199552
P06,RSVP,Audio Assistance Enabled,0.692590393
P07,STP,Audio Assistance Disabled,0.573201738
P07,STP,Audio Assistance Disabled,0.712097968
P07,STP,Audio Assistance Enabled,1.288279911
P07,STP,Audio Assistance Enabled,0.727556502
P07,RSVP,Audio Assistance Disabled,0.952997256
P07,RSVP,Audio Assistance Disabled,1.238854937
P07,RSVP,Audio Assistance Enabled,0.940801901
P07,RSVP,Audio Assistance Enabled,0.759345216
P08,STP,Audio Assistance Disabled,0.627169806
P08,STP,Audio Assistance Disabled,0.254218279
P08,STP,Audio Assistance Enabled,0.552086856
P08,STP,Audio Assistance Enabled,0.517950407
P08,RSVP,Audio Assistance Disabled,0.663037233
P08,RSVP,Audio Assistance Disabled,0.591870181
P08,RSVP,Audio Assistance Enabled,0.64345556
P08,RSVP,Audio Assistance Enabled,0.362161863
P10,STP,Audio Assistance Disabled,0.168938074
P10,STP,Audio Assistance Enabled,0.541304631
P10,STP,Audio Assistance Enabled,0.496599856
P10,RSVP,Audio Assistance Disabled,0.542510239
P10,RSVP,Audio Assistance Disabled,0.745682034
P10,RSVP,Audio Assistance Enabled,0.640506243
P10,RSVP,Audio Assistance Enabled,0.66837312
P11,STP,Audio Assistance Disabled,0.597681891
P11,STP,Audio Assistance Disabled,0.597717432
P11,STP,Audio Assistance Enabled,0.490055545
P11,STP,Audio Assistance Enabled,0.345324055
P11,RSVP,Audio Assistance Disabled,0.490809058
P11,RSVP,Audio Assistance Disabled,0.483412621
P11,RSVP,Audio Assistance Enabled,0.513497507
P11,RSVP,Audio Assistance Enabled,0.592625592
P12,STP,Audio Assistance Disabled,0.675283966
P12,STP,Audio Assistance Disabled,0.786703862
P12,STP,Audio Assistance Enabled,0.438232805
P12,STP,Audio Assistance Enabled,0.456471802
P12,RSVP,Audio Assistance Disabled,0.853782647
P12,RSVP,Audio Assistance Disabled,0.508799121
P12,RSVP,Audio Assistance Enabled,0.717794265
P12,RSVP,Audio Assistance Enabled,0.483598447
P13,STP,Audio Assistance Disabled,0.662035919
P13,STP,Audio Assistance Disabled,0.673445118
P13,STP,Audio Assistance Enabled,0.961627396
P13,STP,Audio Assistance Enabled,0.664781701
P13,RSVP,Audio Assistance Disabled,0.640389134
P13,RSVP,Audio Assistance Disabled,0.552285928
P13,RSVP,Audio Assistance Enabled,0.745526439
P13,RSVP,Audio Assistance Enabled,0.665207916
P14,STP,Audio Assistance Disabled,0.363816351
P14,STP,Audio Assistance Disabled,0.542517429
P14,STP,Audio Assistance Enabled,0.393292901
P14,STP,Audio Assistance Enabled,0.668310379
P14,RSVP,Audio Assistance Disabled,0.367233761
P14,RSVP,Audio Assistance Disabled,0.250023315
P14,RSVP,Audio Assistance Enabled,0.827952934
P14,RSVP,Audio Assistance Enabled,0.458722098
P15,STP,Audio Assistance Disabled,0.769630162
P15,STP,Audio Assistance Disabled,0.573173608
P15,STP,Audio Assistance Enabled,0.847769076
P15,STP,Audio Assistance Enabled,0.470877718
P15,RSVP,Audio Assistance Disabled,0.546879745
P15,RSVP,Audio Assistance Disabled,0.384312071
P15,RSVP,Audio Assistance Enabled,0.866397955
P15,RSVP,Audio Assistance Enabled,0.535144958
P16,STP,Audio Assistance Disabled,0.493024259
P16,STP,Audio Assistance Enabled,1.179746789
P16,STP,Audio Assistance Enabled,1.044667166
P16,RSVP,Audio Assistance Disabled,0.510493586
P16,RSVP,Audio Assistance Disabled,0.687757726
P16,RSVP,Audio Assistance Enabled,1.030957812
P16,RSVP,Audio Assistance Enabled,0.68363857
P17,STP,Audio Assistance Disabled,0.778148444
P17,STP,Audio Assistance Disabled,0.754267775
P17,STP,Audio Assistance Enabled,0.4209897
P17,STP,Audio Assistance Enabled,0.400164467
P17,RSVP,Audio Assistance Disabled,0.548049477
P17,RSVP,Audio Assistance Disabled,0.379003621
P17,RSVP,Audio Assistance Enabled,0.696002268
P17,RSVP,Audio Assistance Enabled,0.943867456
P18,STP,Audio Assistance Disabled,0.838892055
P18,STP,Audio Assistance Disabled,0.730036891
P18,STP,Audio Assistance Enabled,0.468055299
P18,STP,Audio Assistance Enabled,0.785845572
P18,RSVP,Audio Assistance Disabled,0.676061957
P18,RSVP,Audio Assistance Disabled,0.859324587
P18,RSVP,Audio Assistance Enabled,0.533138296
P18,RSVP,Audio Assistance Enabled,0.24961457
P19,STP,Audio Assistance Disabled,0.912920589
P19,STP,Audio Assistance Disabled,1.014241922
P19,STP,Audio Assistance Enabled,0.506111132
P19,STP,Audio Assistance Enabled,0.770872846
P19,RSVP,Audio Assistance Disabled,0.972561189
P19,RSVP,Audio Assistance Disabled,0.467976834
P19,RSVP,Audio Assistance Enabled,0.824335537
P19,RSVP,Audio Assistance Enabled,0.717716205
P20,STP,Audio Assistance Disabled,0.389203508
P20,STP,Audio Assistance Disabled,0.317000483
P20,STP,Audio Assistance Enabled,0.432662018
P20,STP,Audio Assistance Enabled,0.429661644
P20,RSVP,Audio Assistance Disabled,0.418997169
P20,RSVP,Audio Assistance Disabled,0.844288269
P20,RSVP,Audio Assistance Enabled,0.932225716
P20,RSVP,Audio Assistance Enabled,0.394808137
P21,STP,Audio Assistance Disabled,0.475726459
P21,STP,Audio Assistance Disabled,0.569231692
P21,STP,Audio Assistance Enabled,0.467482908
P21,RSVP,Audio Assistance Disabled,0.675897731
P21,RSVP,Audio Assistance Disabled,0.362760031
