Participant_ID,TPT,AA,SDLP
P06,STP,Audio Assistance Disabled,0.284848068
P06,STP,Audio Assistance Disabled,0.198402839
P06,STP,Audio Assistance Enabled,0.196327427
P06,STP,Audio Assistance Enabled,0.30038106
P06,RSVP,Audio Assistance Disabled,0.51858835
P06,RSVP,Audio Assistance Disabled,0.108035285
P06,RSVP,Audio Assistance Enabled,0.410391894
P07,STP,Audio Assistance Disabled,0.342736307
P07,STP,Audio Assistance Disabled,0.352745478
P07,STP,Audio Assistance Enabled,0.230730722
P07,STP,Audio Assistance Enabled,0.529357748
P07,RSVP,Audio Assistance Disabled,0.258432466
P07,RSVP,Audio Assistance Disabled,0.190502146
P07,RSVP,Audio Assistance Enabled,0.598774966
P07,RSVP,Audio Assistance Enabled,0.57771672
P08,STP,Audio Assistance Disabled,0.148965252
P08,STP,Audio Assistance Disabled,0.32379923
P08,STP,Audio Assistance Enabled,0.177862089
P08,STP,Audio Assistance Enabled,0.466247468
P08,RSVP,Audio Assistance Disabled,0.33790388
P08,RSVP,Audio Assistance Disabled,0.434861178
P08,RSVP,Audio Assistance Enabled,0.429023283
P08,RSVP,Audio Assistance Enabled,0.313407418
P10,STP,Audio Assistance Disabled,0.379935046
P10,STP,Audio Assistance Disabled,0.070550372
P10,STP,Audio Assistance Enabled,0.293425422
P10,STP,Audio Assistance Enabled,0.213018844
P10,RSVP,Audio Assistance Disabled,0.194886339
P10,RSVP,Audio Assistance Disabled,0.376724543
P10,RSVP,Audio Assistance Enabled,0.260083014
P10,RSVP,Audio Assistance Enabled,0.33253829
P11,STP,Audio Assistance Disabled,0.291892517
P11,STP,Audio Assistance Disabled,0.40204568
P11,STP,Audio Assistance Enabled,0.260101844
P11,STP,Audio Assistance Enabled,0.076616406
P11,RSVP,Audio Assistance Disabled,0.325835098
P11,RSVP,Audio Assistance Disabled,0.300085281
P11,RSVP,Audio Assistance Enabled,0.241828572
P11,RSVP,Audio Assistance Enabled,0.271035306
P12,STP,Audio Assistance Disabled,0.289772418
P12,STP,Audio Assistance Disabled,0.374140129
P12,STP,Audio Assistance Enabled,0.19193463
P12,STP,Audio Assistance Enabled,0.303004415
P12,RSVP,Audio Assistance Disabled,0.583344737
P12,RSVP,Audio Assistance Enabled,0.432886273
P12,RSVP,Audio Assistance Enabled,0.378356439
P13,STP,Audio Assistance Disabled,0.209710197
P13,STP,Audio Assistance Disabled,0.17626631
P13,STP,Audio Assistance Enabled,0.382400875
P13,STP,Audio Assistance Enabled,0.315668796
P13,RSVP,Audio Assistance Disabled,0.297808366
P13,RSVP,Audio Assistance Disabled,0.26642468
P13,RSVP,Audio Assistance Enabled,0.338901213
P13,RSVP,Audio Assistance Enabled,0.325696139
P14,STP,Audio Assistance Disabled,0.235850551
P14,STP,Audio Assistance Disabled,0.144528403
P14,STP,Audio Assistance Enabled,0.191522945
P14,STP,Audio Assistance Enabled,0.311170025
P14,RSVP,Audio Assistance Disabled,0.118766344
P14,RSVP,Audio Assistance Disabled,0.095066256
P14,RSVP,Audio Assistance Enabled,0.441634488
P14,RSVP,Audio Assistance Enabled,0.272888657
P15,STP,Audio Assistance Disabled,0.240837992
P15,STP,Audio Assistance Disabled,0.390896766
P15,STP,Audio Assistance Enabled,0.349489821
P15,STP,Audio Assistance Enabled,0.456848439
P15,RSVP,Audio Assistance Disabled,0.433400106
P15,RSVP,Audio Assistance Disabled,0.229734295
P15,RSVP,Audio Assistance Enabled,0.598479692
P15,RSVP,Audio Assistance Enabled,0.338327071
P16,STP,Audio Assistance Disabled,0.407651669
P16,STP,Audio Assistance Enabled,0.310537448
P16,STP,Audio Assistance Enabled,0.388436203
P16,RSVP,Audio Assistance Disabled,0.364278866
P16,RSVP,Audio Assistance Disabled,0.495189164
P16,RSVP,Audio Assistance Enabled,0.494490816
P16,RSVP,Audio Assistance Enabled,0.464120633
P17,STP,Audio Assistance Disabled,0.244460574
P17,STP,Audio Assistance Disabled,0.410532799
P17,STP,Audio Assistance Enabled,0.307038663
P17,STP,Audio Assistance Enabled,0.184367025
P17,RSVP,Audio Assistance Disabled,0.356534761
P17,RSVP,Audio Assistance Disabled,0.14236434
P17,RSVP,Audio Assistance Enabled,0.489147161
P17,RSVP,Audio Assistance Enabled,0.288466586
P18,STP,Audio Assistance Disabled,0.422233633
P18,STP,Audio Assistance Disabled,0.350923062
P18,STP,Audio Assistance Enabled,0.256701127
P18,STP,Audio Assistance Enabled,0.50385827
P18,RSVP,Audio Assistance Disabled,0.328933031
P18,RSVP,Audio Assistance Disabled,0.588570239
P18,RSVP,Audio Assistance Enabled,0.260552022
P18,RSVP,Audio Assistance Enabled,0.236257063
P19,STP,Audio Assistance Disabled,0.574174715
